Engine Rotation Speed,Engine Temperature,Engine Vibration,Noise,Risk
20835.67,572.96,1.35,129.57,0
19061.72,618.59,1.01,124.05,0
20583.75,578.28,1.01,116.3,0
27652.75,813.05,1.85,132.56,0
20347.7,565.77,1.17,125.98,0
19346.32,552.06,1.01,133.66,0
27583.87,926.75,3.24,137.98,1
27109.36,945.0,3.5,135.11,1
20135.79,561.7,0.88,135.27,0
27122.05,958.22,3.04,137.34,1
28337.12,845.49,2.72,136.45,0
20593.07,646.21,1.03,128.73,0
19789.43,1003.44,1.34,136.76,1
26970.17,898.95,3.26,140.94,1
27859.4,792.23,2.86,138.48,0
19031.62,577.16,0.94,130.5,0
28318.12,810.42,3.29,137.27,0
28361.39,805.66,2.45,133.76,0
28588.11,761.47,2.51,129.66,0
19851.22,641.27,1.15,130.63,0
27519.82,747.35,2.44,133.39,0
20012.61,553.71,1.25,140.98,0
20637.7,595.45,1.36,134.2,0
29367.98,817.06,2.31,136.74,0
27128.69,931.07,3.63,136.41,1
20948.06,949.17,0.87,138.56,1
20210.98,575.26,4.18,133.65,1
20548.23,581.23,0.8,128.99,0
27308.49,737.2,2.95,137.56,0
20044.2,644.33,0.86,129.03,0
26854.78,963.32,3.74,143.01,1
20102.38,622.98,0.72,131.5,0
20979.92,613.52,1.22,130.18,0
27525.02,959.74,3.54,131.37,1
28071.5,935.91,3.55,145.78,1
20493.93,1003.78,1.48,128.45,1
26535.54,934.88,3.48,149.45,1
20485.24,952.25,1.39,141.61,1
26624.64,973.78,3.06,145.29,1
27152.58,984.44,3.6,133.51,1
19932.5,578.47,3.67,136.3,1
27281.43,945.87,3.73,134.13,1
20048.5,617.85,0.95,140.46,0
26888.49,958.46,3.45,142.17,1
26251.38,971.8,3.71,147.92,1
27260.66,733.11,2.28,131.87,0
19658.96,1024.57,1.05,130.72,1
19837.69,997.13,1.23,130.12,1
19356.42,558.09,1.02,135.19,0
20246.0,956.07,0.91,130.0,1
27829.24,826.79,2.18,136.95,0
26839.12,949.03,4.07,133.38,1
26687.11,956.9,3.73,136.34,1
19974.25,1001.26,1.17,124.08,1
27695.73,943.63,3.51,140.11,1
20182.58,997.35,1.02,132.87,1
26968.31,964.48,3.83,138.33,1
21184.17,625.68,3.49,131.45,1
20430.17,516.98,4.81,142.51,1
19884.35,582.71,1.64,126.5,0
19996.37,590.65,4.2,136.14,1
20404.46,582.47,0.98,128.89,0
27415.75,973.94,3.07,149.56,1
19402.06,613.34,1.56,126.95,0
27745.84,971.74,3.78,137.4,1
26898.83,944.5,3.07,144.73,1
19153.52,597.05,0.9,124.48,0
19961.36,671.23,3.8,133.19,1
26782.46,940.65,3.1,136.29,1
20126.87,614.03,1.53,130.49,0
19892.97,611.38,1.41,131.33,0
20339.57,590.94,1.1,133.66,0
26474.91,920.83,3.36,136.22,1
19907.36,596.11,1.21,129.26,0
29071.72,792.3,2.54,128.18,0
20058.42,561.43,1.46,122.83,0
27085.92,848.52,2.4,131.14,0
26922.29,915.33,3.44,144.9,1
19930.77,563.27,1.14,125.75,0
20474.78,555.45,0.43,134.67,0
20393.2,583.21,0.35,136.8,0
20770.05,629.05,4.16,132.54,1
20457.7,583.51,1.16,126.82,0
28208.33,788.43,2.56,135.54,0
27669.03,811.97,3.01,139.58,0
28114.82,760.45,2.65,136.37,0
20255.34,628.17,3.81,128.33,1
20329.73,575.88,1.29,128.76,0
20158.14,640.99,4.08,139.04,1
28854.85,836.3,2.63,139.52,0
27733.93,949.09,4.28,131.38,1
27126.1,890.89,2.84,138.9,1
19871.35,632.46,1.16,125.74,0
19485.31,559.42,0.74,135.56,0
19655.17,598.4,4.08,128.43,1
19634.18,656.71,1.21,133.84,0
28288.11,769.75,1.98,136.56,0
19888.71,939.54,1.34,122.8,1
19774.03,576.32,1.2,128.92,0
19448.61,586.96,4.16,133.25,1
19594.55,611.0,0.98,134.32,0
20648.5,599.31,0.9,127.48,0
20073.01,587.16,3.57,145.96,1
20304.76,553.34,1.26,130.5,0
20006.5,643.61,1.12,143.6,0
18932.16,694.13,1.52,131.12,0
20391.07,576.27,0.97,135.41,0
20436.16,605.5,1.86,125.96,0
19971.48,635.52,1.3,129.7,0
19930.3,622.19,0.63,136.59,0
28400.8,777.64,2.47,135.15,0
20977.08,584.83,0.88,137.41,0
20322.79,600.58,0.5,133.91,0
19444.27,607.4,1.35,135.7,0
19976.87,603.42,1.22,125.36,0
20816.72,565.61,1.29,126.23,0
20183.6,599.06,4.45,120.17,1
19713.17,583.59,1.19,127.28,0
19464.67,966.47,1.41,128.83,1
27991.85,972.72,3.63,135.08,1
28970.08,822.27,2.87,132.08,0
19774.63,929.95,1.0,125.16,1
